Código,Espécie,Local de pouso,Local de pouso,Sexo,Data da captura,Hora de captura,Temperatura (°C),Umidade (%),Localidade,Latitude,Longitude,Ambiente,Mês,Armadilha,Coletadores,Observações Augusto
PTC 083,Stypommisa aripuana,6 D,Perna dianteira,F,17.viii.2019,16:12,"29,8",69,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 084,Stypommisa aripuana,6 E,Perna dianteira,F,17.viii.2019,16:19,"29,6",70,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 085,Stypommisa aripuana,7 D,Perna traseira,F,17.viii.2019,16:52,"29,3",72,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 086,Stypommisa aripuana,11 D,Pescoço,F,17.viii.2019,17:04,"29,3",72,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 087,Stypommisa aripuana,6 D,Perna dianteira,F,17.viii.2019,17:29,"28,5",77,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 088,Stypommisa aripuana,7 D,Perna traseira,F,17.viii.2019,17:34,"28,5",77,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 089,Tabanus occidentalis,6 D,Perna dianteira,F,19.vii.2019,6:13,"23,7",88,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 090,Tabanus sorbillans,6 E,Perna dianteira,F,19.vii.2019,6:15,"23,7",88,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 091,Tabanus occidentalis,7 D,Perna traseira,F,19.vii.2019,6:52,"22,3",99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 092,Chrysops variegatus,1 E,Orelha,F,19.vii.2019,7:06,"22,4",98,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
