Código,Espécie,Sexo,Localidade,Latitude,Longitude,Ambiente,Armadilha,Condição da armadilha,Mês,Data de ligação,Data de reposição do álcool,Data de retirada,Temperatura média (°C),Umidade média (%),Velocidade do vento média (m/s),Chuva média (mm),Pressão média (hPa),Pto. Orvalho média (°C)
TabRO 0050,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0051,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0052,Tabanus occidentalis var. dorsovittatus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Pasto,Malaise,Preservada,Julho ,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0053,Tabanus occidentalis var. dorsovittatus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Pasto,Malaise,Preservada,Julho ,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0054,Tabanus ?fuscofasciatus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0055,Tabanus sorbillans,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0056,Tabanus occidentalis modestus,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0057,Pityocera pernaquila,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0058,Tabanus occidentalis,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0059,Phorcotabanus cinereus,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Pasto,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
